Week,Open.Price,High.Price,Low.Price,Close.Price,Average.No.of.Shares,No..of.Trades,Total.Turnover..Rs..,Spread.High.Low,Spread.Close.Open,WAP
1,205.37,214.03,202.4,209.54,2243263,8710.2,472506629.4,11.63,4.17,210.63
2,214.06,219.3,211.35,215.76,1737240,7078,378610262.6,7.95,1.7,217.94
3,220.59,222.74,217.12,219.85,1685147,7230.4,372512046,5.62,-0.74,221.06
4,225.02,233.04,222.53,227.13,2395594,7462.6,549220152.8,10.51,2.11,229.26
5,229.78,236.58,227.64,232.41,2572873,8786,599922634.4,8.94,2.63,233.17
6,244,250.62,240.14,244.84,2534591,8591.2,626282945.6,10.48,0.84,247.09
7,244.89,248.65,238.6,241.5,2419863,9006.6,589252108.6,10.05,-3.39,243.51
8,232.98,237.96,226.83,230.33,1612284,6712.6,377734351,11.13,-2.65,234.29
9,245.45,259.15,244.8,253.69,3463369,11567.4,877484440.6,14.35,8.24,253.36
10,263.1,264.96,252.76,258.12,1846806,7913.4,479968283,12.2,-4.98,259.89
11,233.34,241.48,226.03,233.64,648933,3692,151852609.4,15.45,0.3,234
12,230.11,233.12,222.43,225.07,331247,2459.8,74946161.2,10.69,-5.04,226.25
13,209.6,212.06,202.77,206.2,387970,3022.2,81036067,9.29,-3.4,208.87
14,197.63,202.75,195.65,199.13,322671,2641.2,64635515.4,7.1,1.5,200.31
15,203.66,210.53,200.3,207.07,497591,3586.2,103180335.2,10.23,3.41,207.36
16,217.35,221.36,213.31,217.75,596846,3402.4,130137495,8.05,0.4,218.04
17,216.25,218.87,213.05,215.16,357385,2472,77460995.6,5.82,-1.09,216.74
18,214.79,224.41,213.3,219.25,820148,4423.2,182047328.2,11.11,4.46,221.97
19,236.68,242.3,234.26,238.16,937246,5452.4,224699185.2,8.04,1.48,239.74
20,239.4,242.08,233.86,236.87,455092,3126.2,108752363,8.22,-2.53,238.97
21,228.85,230.09,226.03,226.72,279911,2014.8,63685798,4.06,-2.13,227.52
22,227.31,230.21,224.32,226.32,762347,4455.8,175108260,5.89,-0.99,229.7
23,217.72,219.18,214.37,215.24,368330,2747.8,79447183,4.81,-2.48,215.7
24,220.73,223.59,217.22,220.27,502166,3631.6,110330405.2,6.37,-0.46,219.71
25,214.21,215.13,212.38,213.43,189606,1621.2,40580968.4,2.75,-0.78,214.03
26,219.68,223.9,217.05,222.31,763727,5002,170033795.6,6.85,2.63,222.64
27,217.12,221.07,213.26,217.55,342822,3037.2,74525051.4,7.81,0.43,217.39
28,220.2,225.37,217.55,222.68,285295,2929.2,63791557.6,7.82,2.48,223.6
29,219.32,223.28,217.9,220.37,193129,1946.8,42759713.6,5.38,1.05,221.4
30,218.92,221.04,215.99,216.85,116603,1409.2,25490323,5.05,-2.07,218.61
31,209.38,213.72,206.45,210.4,127118,1270,26747194.6,7.27,1.02,210.41
